pops,string_tree,no_admixes,topology
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000995505-0.085056176-0.013431526-0.033411958-0.042288027-0.013125840-0.070634647;0.576,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.009796277-0.083426376-0.000718749-0.032173347-0.021364392-0.015750844-0.074485510;0.594,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.004522341-0.082135956-0.013527350-0.034147859-0.018666792-0.017302255-0.073160280;0.558,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.006142674-0.080740461-0.013158437-0.033145780-0.020097500-0.018943883-0.074895898;0.582,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.005888913-0.080740461-0.015071826-0.033145780-0.017851674-0.018943883-0.074895898;0.567,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.007814529-0.080740461-0.009137781-0.033145780-0.017605715-0.018943883-0.074895897;0.563,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.001385247-0.079575825-0.021632642-0.032549220-0.033463363-0.018480904-0.074496382;0.574,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000942351-0.079575825-0.028675465-0.031664766-0.023117376-0.018480904-0.074458746;0.558,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.008407170-0.081100860-0.009481625-0.032719992-0.010221446-0.019203646-0.073611562;0.542,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.009226133-0.080514949-0.007991651-0.030842082-0.009035193-0.019295253-0.074805575;0.579,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.000285679-0.080282989-0.016641958-0.032658595-0.036082679-0.019617383-0.076301515;0.523,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.003473207-0.080282989-0.010174284-0.032658595-0.029987460-0.019617383-0.076301515;0.548,1,w.a.w-c.0.c.2-c.0
s1-s1.s2-s1.s2.s3-s2-s2.s3-s3,s1=s2=s3=w.a.w-c.0.c.2-c.0;0.013383947-0.079969527-0.000363234-0.034258336-0.010556908-0.017323518-0.074912197;0.554,1,w.a.w-c.0.c.2-c.0
