,add,admixtures,average_branch_length,average_root,descendant_sets,ghost_pops,iteration,likelihood,max_root,mhr,min_root,no_admixes,posterior,prior,proposal_type,rescale_adap_param,rescale_add_adap_param,rescale_admixtures_adap_param,rescale_constrained_adap_param,sliding_regraft_adap_param,total_branch_length,tree,origin,layer
1,0.28115729356477304,x2b;0.502,0.0338102239656356,0.08574343037560879,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18040,22.441265870422285,0.11174605176672814,1.0665211841659186,0.04142547403450139,1,8.737666185790998,-13.703599684631287,rescale_add,,0.07881416016251305,,,,0.3042920156907204,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.010289979-0.081301624-0.012273219-0.042741257-0.000031847-0.068039734-0.069787019-0.018862276-0.000965060;0.502,3,0
0,0.2817397004132025,x2b;0.483,0.035281435460068844,0.08613598978210818,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18080,22.131088146039474,0.1119425442527976,2.0692085435165326e-209,0.026131023169812445,1,8.328370360428702,-13.802717785610772,deladmix,,,,,,0.3175329191406196,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.003950872-0.079853234-0.003114180-0.047155499-0.029552560-0.064630507-0.070053558-0.019065972-0.000156538;0.483,3,0
0,0.3094925424322351,x2b;0.483,0.03617329962801232,0.08686073781595464,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18120,21.555147981149275,0.11194254425279757,3.166069421477261e-145,0.03558410308165545,1,7.6649439601960445,-13.890204020953231,addadmix,,,,,,0.3255596966521109,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.001588019-0.080032070-0.015108949-0.047236585-0.027947421-0.064116410-0.070053558-0.018887135-0.000589549;0.483,3,0
0,0.2738152572951525,x2b;0.470,0.03628239307391709,0.08684365966399257,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18160,23.967096385395052,0.11065840918986714,0.037492536334991215,0.057347831330906034,1,10.105263019323464,-13.861833366071588,rescale_add,,0.08007557195531056,,,,0.32654153766525384,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.002056530-0.079877898-0.035336339-0.048178692-0.008386841-0.061471871-0.070270558-0.019954963-0.001007846;0.470,3,0
0,0.29464563570046076,x2b;0.487,0.036283878500855654,0.08678058135617908,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18200,23.471402933255376,0.11065840918986714,6.049200630977124,0.057361200173353076,1,9.588639700992376,-13.882763232263,rescale_admixtures,,,0.07393532515781642,,,0.3265549065077009,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.002056530-0.079877898-0.035336339-0.048178692-0.008386841-0.061471871-0.070270558-0.019968332-0.001007846;0.487,3,0
1,0.29464563570046076,x2b;0.495,0.03611590034270384,0.08687587001428254,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18240,24.018365627011008,0.11065840918986714,2.5130319577962132e-199,0.0544550481742691,1,10.146852880809986,-13.871512746201022,deladmix,,,,,,0.32504310308433454,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.002104535-0.079877898-0.032382181-0.045801677-0.009781189-0.063848886-0.070270558-0.019968332-0.001007846;0.495,3,0
0,0.312821393170107,x2b;0.495,0.03600391744399255,0.08630087623461266,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,0,18280,22.735004404368738,0.10965056310146554,0.0022689740241144114,0.054605691650577534,1,8.852816054616849,-13.882188349751889,rescale_add,,0.07902486876992859,,,,0.32403525699593294,w.a.w.w-c.0.c.w.2-c.0.w-c.0;0.002104535-0.079877898-0.032382181-0.045801677-0.009781189-0.019968332-0.063698242-0.000150643-0.070270558;0.495,3,0
0,0.29507232279860507,x2b;0.474,0.03588760533239622,0.08680413205210727,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18320,23.905647381985546,0.10990973297117043,0.013027516361960083,0.044995315596810984,1,10.048998209394943,-13.856649172590602,rescale,0.04745420306122437,,,,,0.32298844799156595,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.003526646-0.079316213-0.021625788-0.045822396-0.017499283-0.063291922-0.071267903-0.019842882-0.000795415;0.474,3,0
0,0.2671305515040636,x2b;0.453,0.03530568430567867,0.08717419861781384,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18360,23.14936220196796,0.11124137994452804,0.13171090573715435,0.04118886314920231,1,9.359629477333979,-13.789732724633982,rescale,0.04716519224584826,,,,,0.317751158751108,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.005293033-0.079558045-0.016330874-0.047065992-0.013942262-0.061942111-0.071820608-0.019564956-0.002233277;0.453,3,0
0,0.2929335334703872,x2b;0.488,0.032715618878605066,0.08217947133353247,s1-s1.s2-s1.s2.s3.s4-s2-s2.s3-s2.s3.s4-s3-s4,0,18400,23.700986935871697,0.10336958318775494,0.7020675713592801,0.034238970107787405,1,10.058923157452503,-13.642063778419194,rescale_add,,0.07890344380317314,,,,0.2944405699074456,w.a.w.w-c.0.c.w.2-w.c.1-c.0;0.007967902-0.078445910-0.007038015-0.045105024-0.008337346-0.055522754-0.070048760-0.019233053-0.002741805;0.488,3,0
