,iteration,posterior,mhr,no_admixes,tree_identifier,average_branch_length,total_branch_length,tree_identifier_new_tree,backward_choices,backward_density,forward_density,forward_choices,proposal_type,prior,branch_prior,no_admix_prior,top_prior,origin,layer
26,26,-11.7633462097,1.0,0,c.0.w-c.0,2.49289668511,9.97158674043,c.0.w-c.0,,,,,deladmix,-11.7633462097,-9.97158674043,-0.69314718056,-1.09861228867,1,1
27,27,-11.7633462097,1.0,0,c.0.w-c.0,2.49289668511,9.97158674043,c.0.w-c.0,,,,,deladmix,-11.7633462097,-9.97158674043,-0.69314718056,-1.09861228867,1,1
28,28,-8.29750366253,3.68339293285,0,c.0.w-c.0,1.62643604833,6.50574419331,c.w.0-c.0,,,,,regraft,-8.29750366253,-6.50574419331,-0.69314718056,-1.09861228867,1,1
29,29,-8.29750366253,0.192487636174,0,c.w.0-c.0,0.954472542771,6.6813077994,w.w.a-c.w.0.w-c.w.0-c.0,2.0,1,0.7748690751450098,16.0,addadmix,-12.2797297584,-6.6813077994,-1.38629436112,-4.21212759788,1,1
30,30,-12.9066624455,0.793443376632,0,c.w.0-c.0,1.04403435522,7.30824048654,a.w.w-c.c.0.1-c.0,2.0,1,0.10042499577957993,16.0,addadmix,-12.9066624455,-7.30824048654,-1.38629436112,-4.21212759788,1,1
31,31,-16.3385096165,0.574724608189,1,a.w.w-c.c.0.1-c.0,0.776682823976,7.76682823976,a.w.w-c.c.0.1-a.w-c.0.w-c.0,4.0,1,0.39373675532832542,28.0,addadmix,-16.3385096165,-7.76682823976,-2.07944154168,-6.49223983502,1,1
32,32,-16.3479393724,0.990614564774,2,a.w.w-c.c.0.1-a.w-c.0.w-c.0,0.777625799571,7.77625799571,a.w.w-c.c.0.1-a.w-c.0.w-c.0,,,,,rescale,-16.3479393724,-7.77625799571,-2.07944154168,-6.49223983502,1,1
33,33,-11.45941511,1.55667852105,2,a.w.w-c.c.0.1-a.w-c.0.w-c.0,0.86916238604,6.08413670228,c.0.a-c.0.w-c.0,49.0,0.14364016983738029,1.0,4.0,deladmix,-11.45941511,-6.08413670228,-1.38629436112,-3.98898404656,1,1
34,34,-6.67610557416,5.97195566917,1,c.0.a-c.0.w-c.0,1.22108652623,4.88434610494,c.0.w-c.0,16.0,0.39979892827167296,1.0,2.0,deladmix,-6.67610557416,-4.88434610494,-0.69314718056,-1.09861228867,1,1
35,35,-6.67610557416,1.0,0,c.0.w-c.0,1.22108652623,4.88434610494,c.0.w-c.0,,,,,deladmix,-6.67610557416,-4.88434610494,-0.69314718056,-1.09861228867,1,1
36,36,-6.67610557416,1.0,0,c.0.w-c.0,1.22108652623,4.88434610494,c.0.w-c.0,,,,,regraft,-6.67610557416,-4.88434610494,-0.69314718056,-1.09861228867,1,1
37,37,-7.70905215214,0.418460656696,0,c.0.w-c.0,1.47932317073,5.91729268291,w.c.1-c.0,,,,,regraft,-7.70905215214,-5.91729268291,-0.69314718056,-1.09861228867,1,1
38,38,-7.70905215214,1.0,0,w.c.1-c.0,1.47932317073,5.91729268291,w.c.1-c.0,,,,,deladmix,-7.70905215214,-5.91729268291,-0.69314718056,-1.09861228867,1,1
39,39,-7.70905215214,1.0,0,w.c.1-c.0,1.47932317073,5.91729268291,w.c.1-c.0,,,,,deladmix,-7.70905215214,-5.91729268291,-0.69314718056,-1.09861228867,1,1
40,40,-7.70905215214,1.0,0,w.c.1-c.0,1.47932317073,5.91729268291,w.c.1-c.0,,,,,deladmix,-7.70905215214,-5.91729268291,-0.69314718056,-1.09861228867,1,1
41,41,-7.70905215214,1.0,0,w.c.1-c.0,1.47932317073,5.91729268291,w.c.1-c.0,,,,,regraft,-7.70905215214,-5.91729268291,-0.69314718056,-1.09861228867,1,1
42,42,-7.70905215214,0.225316805051,0,w.c.1-c.0,0.858751480872,6.0112603661,w.w.a-c.c.1.0-c.0,2.0,1,0.71824769765892704,16.0,addadmix,-11.6096823251,-6.0112603661,-1.38629436112,-4.21212759788,1,1
43,43,-11.8482923992,0.26935317619,0,w.c.1-c.0,0.924716284495,6.47301399147,a.c.1-c.0.w-c.0,2.0,1,0.47328058308104004,16.0,addadmix,-11.8482923992,-6.47301399147,-1.38629436112,-3.98898404656,1,1
44,44,-11.8482923992,0.321083637483,1,a.c.1-c.0.w-c.0,0.744875090951,7.44875090951,a.a.w-w.w.c.w.2-w.c.1.w-c.0.w-c.0,4.0,1,0.1508398099823155,49.0,addadmix,-17.3814088393,-7.44875090951,-2.07944154168,-7.85321638816,1,1
45,45,-11.4736774047,1.0,1,a.c.1-c.0.w-c.0,0.87119985671,6.09839899697,a.c.1-c.0.w-c.0,,,,,regraft,-11.4736774047,-6.09839899697,-1.38629436112,-3.98898404656,1,1
46,46,-7.84851520722,2.61956411432,1,a.c.1-c.0.w-c.0,1.5141889345,6.056755738,w.c.1-c.0,16.0,0.55838157708795999,1.0,2.0,deladmix,-7.84851520722,-6.056755738,-0.69314718056,-1.09861228867,1,1
47,47,-7.84472813853,1.0037942487,0,w.c.1-c.0,1.51324216733,6.0529686693,w.c.1-c.0,,,,,rescale,-7.84472813853,-6.0529686693,-0.69314718056,-1.09861228867,1,1
48,48,-7.84472813853,1.0,0,w.c.1-c.0,1.51324216733,6.0529686693,w.c.1-c.0,,,,,deladmix,-7.84472813853,-6.0529686693,-0.69314718056,-1.09861228867,1,1
49,49,-7.84472813853,1.0,0,w.c.1-c.0,1.51324216733,6.0529686693,w.c.1-c.0,,,,,deladmix,-7.84472813853,-6.0529686693,-0.69314718056,-1.09861228867,1,1
50,50,-7.82587995351,1.01902693332,0,w.c.1-c.0,1.50853012107,6.03412048428,w.c.1-c.0,,,,,rescale,-7.82587995351,-6.03412048428,-0.69314718056,-1.09861228867,1,1
51,51,-7.82587995351,0.181232675715,0,w.c.1-c.0,1.2992347101,9.09464297069,w.w.a-w.c.1.w-c.0.w-c.0,2.0,1,0.045969834818385978,16.0,addadmix,-14.6930649297,-9.09464297069,-1.38629436112,-4.21212759788,1,1
52,52,-7.86721405616,0.959508502052,0,w.c.1-c.0,1.51886364673,6.07545458694,w.c.1-c.0,,,,,rescale,-7.86721405616,-6.07545458694,-0.69314718056,-1.09861228867,1,1
53,53,-7.86721405616,1.0,0,w.c.1-c.0,1.51886364673,6.07545458694,w.c.1-c.0,,,,,deladmix,-7.86721405616,-6.07545458694,-0.69314718056,-1.09861228867,1,1
54,54,-6.53725818421,1.01216434871,0,w.c.1-c.0,1.18637467874,4.74549871498,c.w.0-c.0,,,,,regraft,-6.53725818421,-4.74549871498,-0.69314718056,-1.09861228867,1,1
55,55,-6.53725818421,1.0,0,c.w.0-c.0,1.18637467874,4.74549871498,c.w.0-c.0,,,,,deladmix,-6.53725818421,-4.74549871498,-0.69314718056,-1.09861228867,1,1
56,56,-6.53725818421,1.0,0,c.w.0-c.0,1.18637467874,4.74549871498,c.w.0-c.0,,,,,deladmix,-6.53725818421,-4.74549871498,-0.69314718056,-1.09861228867,1,1
57,57,-10.4159690792,0.530976460747,0,c.w.0-c.0,0.720098667356,5.04069067149,c.a.0-c.0.w-c.0,2.0,1,0.31153868329663731,16.0,addadmix,-10.4159690792,-5.04069067149,-1.38629436112,-3.98898404656,1,1
58,58,-10.4159690792,0.114183706687,1,c.a.0-c.0.w-c.0,0.806274325864,8.06274325864,c.a.0-a.w.w-c.0.w.w-c.0.w-c.0,3.0,1,0.074023399256856137,35.0,addadmix,-17.646025547,-8.06274325864,-2.07944154168,-7.5038407467,1,1
59,59,-10.469356027,0.948013109881,1,c.a.0-c.0.w-c.0,0.72772537419,5.09407761933,c.a.0-c.0.w-c.0,,,,,rescale,-10.469356027,-5.09407761933,-1.38629436112,-3.98898404656,1,1
60,60,-10.469356027,0.0328183938091,1,c.a.0-c.0.w-c.0,0.521122041245,5.21122041245,c.a.0-a.w.w-c.0.w.w-c.w.0-c.0,3.0,1,4.7037272808864365,35.0,addadmix,-14.7945027008,-5.21122041245,-2.07944154168,-7.5038407467,1,1
61,61,-10.4614274054,1.00796013636,1,c.a.0-c.0.w-c.0,0.726592713961,5.08614899773,c.a.0-c.0.w-c.0,,,,,rescale,-10.4614274054,-5.08614899773,-1.38629436112,-3.98898404656,1,1
62,62,-11.8917336001,1.0,1,c.a.0-c.0.w-c.0,0.930922170351,6.51645519246,c.a.0-c.0.w-c.0,,,,,regraft,-11.8917336001,-6.51645519246,-1.38629436112,-3.98898404656,1,1
63,63,-11.8869240042,1.00482118062,1,c.a.0-c.0.w-c.0,0.930235085216,6.51164559651,c.a.0-c.0.w-c.0,,,,,rescale,-11.8869240042,-6.51164559651,-1.38629436112,-3.98898404656,1,1
64,64,-11.9204779398,0.967002753981,1,c.a.0-c.0.w-c.0,0.935028504583,6.54519953208,c.a.0-c.0.w-c.0,,,,,rescale,-11.9204779398,-6.54519953208,-1.38629436112,-3.98898404656,1,1
65,65,-11.9204779398,0.214543930791,1,c.a.0-c.0.w-c.0,0.935028504583,6.54519953208,w.a.w-w.c.1.w-c.0.w-c.0,,,,,regraft,-12.1436214911,-6.54519953208,-1.38629436112,-4.21212759788,1,1
66,66,-7.52413949889,1.51446831804,1,c.a.0-c.0.w-c.0,1.43309500742,5.73238002966,c.w.0-c.0,16.0,0.14929479062822476,1.0,2.0,deladmix,-7.52413949889,-5.73238002966,-0.69314718056,-1.09861228867,1,1
67,67,-7.4922306608,1.03242338332,0,c.w.0-c.0,1.42511779789,5.70047119158,c.w.0-c.0,,,,,rescale,-7.4922306608,-5.70047119158,-0.69314718056,-1.09861228867,1,1
68,68,-11.9276401763,0.729059759761,0,c.w.0-c.0,0.904174031039,6.32921821727,a.w.w-c.c.0.1-c.0,2.0,1,0.13003282005424374,16.0,addadmix,-11.9276401763,-6.32921821727,-1.38629436112,-4.21212759788,1,1
69,69,-7.99427647439,2.38222018086,1,a.w.w-c.c.0.1-c.0,1.55062925129,6.20251700516,c.0.w-c.0,16.0,0.37310729063247161,1.0,2.0,deladmix,-7.99427647439,-6.20251700516,-0.69314718056,-1.09861228867,1,1
70,70,-7.99427647439,1.0,0,c.0.w-c.0,1.55062925129,6.20251700516,c.0.w-c.0,,,,,deladmix,-7.99427647439,-6.20251700516,-0.69314718056,-1.09861228867,1,1
71,71,-12.6969509908,0.333239010873,0,c.0.w-c.0,1.01407557597,7.09852903181,w.a.w-c.0.w.w-c.w.0-c.0,2.0,1,0.21776523968044378,16.0,addadmix,-12.6969509908,-7.09852903181,-1.38629436112,-4.21212759788,1,1
72,72,-7.99427647439,3.00084914242,1,w.a.w-c.0.w.w-c.w.0-c.0,1.55062925129,6.20251700516,c.0.w-c.0,16.0,0.21776523968044378,1.0,2.0,deladmix,-7.99427647439,-6.20251700516,-0.69314718056,-1.09861228867,1,1
73,73,-7.99427647439,1.0,0,c.0.w-c.0,1.55062925129,6.20251700516,c.0.w-c.0,,,,,deladmix,-7.99427647439,-6.20251700516,-0.69314718056,-1.09861228867,1,1
74,74,-7.9848832398,1.00943748947,0,c.0.w-c.0,1.54828094264,6.19312377057,c.0.w-c.0,,,,,rescale,-7.9848832398,-6.19312377057,-0.69314718056,-1.09861228867,1,1
